0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
AFD|AFD|Ïîðò Àëüôðåä|Ïîðò Àëüôðåä|Port Alfred|Port Alfred|Ïîðò Àëüôðåä|Ïîðò Àëüôðåä|Port Alfred|Port Alfred|ÞÀÐ|ÞÀÐ|-33.554167|-33.554167|26.879722|26.879722
AFF|AFF|||USAF Academy Airstrip|USAF Academy Airstrip|Êîëîðàäî Ñïðèíãç|Êîëîðàäî Ñïðèíãç|Colorado Springs|Colorado Springs|ÑØÀ|ÑØÀ|38.969715|38.969715|-104.812831|-104.812831
AFI|AFI|Àìàëôè|Àìàëôè|Amalfi|Amalfi|Àìàëôè|Àìàëôè|Amalfi|Amalfi|Êîëóìáèÿ|Êîëóìáèÿ|6.916667|6.916667|-75.066667|-75.066667
AFK|AFK|||Kondavattavan Tank|Kondavattavan Tank|||Ampara|Ampara|Øðè-Ëàíêà|Øðè-Ëàíêà|40.605444|40.605444|-95.867750|-95.867750
AFL|AFL|Àëòà-Ôëîðåñòà|Àëòà-Ôëîðåñòà|Alta Floresta|Alta Floresta|Àëòà-Ôëîðåñòà|Àëòà-Ôëîðåñòà|Alta Floresta|Alta Floresta|Áðàçèëèÿ|Áðàçèëèÿ|-9.866092|-9.866092|-56.106206|-56.106206
AFN|AFN|||Municipal|Municipal|||Jaffrey|Jaffrey|ÑØÀ|ÑØÀ|42.805134|42.805134|-72.003022|-72.003022
AFO|AFO|||Municipal|Municipal|Àôòîí|Àôòîí|Afton|Afton|ÑØÀ|ÑØÀ|42.708778|42.708778|-110.942167|-110.942167
AFR|AFR|Àôîðå|Àôîðå|Afore|Afore|Àôîðå|Àôîðå|Afore|Afore|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-9.133|-9.133|148.383|148.383
AFS|AFS|Çàðàôøàí|Çàðàôøàí|Zarafshan|Zarafshan|Çàðàôøàí|Çàðàôøàí|Zarafshan|Zarafshan|Óçáåêèñòàí|Óçáåêèñòàí|41.613611|41.613611|64.232777|64.232777
AFT|AFT|||Afutara Aerodrome|Afutara Aerodrome|Àôóòàðà|Àôóòàðà|Afutara|Afutara|Ñîëîìîíîâû îñòðîâà|Ñîëîìîíîâû îñòðîâà|-9.191111|-9.191111|160.949167|160.949167
AFW|AFW|||Fort Worth Alliance|Fort Worth Alliance|||Fort Worth, TX|Fort Worth, TX|ÑØÀ|ÑØÀ|32.987639|32.987639|-97.318806|-97.318806
AFY|AFY|Àôèîí|Àôèîí|Afyon|Afyon|Àôèîí|Àôèîí|Afyon|Afyon|Òóðöèÿ|Òóðöèÿ|38.726425|38.726425|30.601114|30.601114
AFZ|AFZ|||Sabzevar|Sabzevar|||Sabzevar|Sabzevar|Èðàí|Èðàí|36.168083|36.168083|57.595183|57.595183
AGA|AGA|Àãàäèð Àëüìàññèðà|Àãàäèð Àëüìàññèðà|Agadir Almassira|Agadir Almassira|Àãàäèð|Àãàäèð|Agadir|Agadir|Ìàðîêêî|Ìàðîêêî|30.324997|30.324997|-9.413067|-9.413067
AGB|AGB|||Augsburg - Muehlhausen|Augsburg - Muehlhausen|Ìþíõåí|Ìþíõåí|Munich|Munich|Ãåðìàíèÿ|Ãåðìàíèÿ|48.425158|48.425158|10.931764|10.931764
AGC|AGC|||Allegheny County|Allegheny County|Ïèòòñáîðî|Ïèòòñáîðî|Pittsburgh|Pittsburgh|ÑØÀ|ÑØÀ|40.354401|40.354401|-79.930169|-79.930169
AGD|AGD|Àíããè|Àíããè|Anggi|Anggi|Àíããè|Àíããè|Anggi|Anggi|Èíäîíåçèÿ|Èíäîíåçèÿ|-1.383|-1.383|133.867|133.867
AGE|AGE|||Flugplatz|Flugplatz|Âàíãåðîîãå|Âàíãåðîîãå|Wangerooge|Wangerooge|Ãåðìàíèÿ|Ãåðìàíèÿ|53.788333|53.788333|7.920556|7.920556
AGF|AGF|||La Garenne|La Garenne|Àãåí|Àãåí|Agen|Agen|Ôðàíöèÿ|Ôðàíöèÿ|44.174714|44.174714|0.590619|0.590619
AGG|AGG|Àíãîðàì|Àíãîðàì|Angoram|Angoram|Àíãîðàì|Àíãîðàì|Angoram|Angoram|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-4.050|-4.050|144.067|144.067
AGH|AGH|||Angelholm|Angelholm|||Angelholm/Helsingborg|Angelholm/Helsingborg|Øâåöèÿ|Øâåöèÿ|56.296072|56.296072|12.847139|12.847139
AGI|AGI|Âàãåíèíãåí|Âàãåíèíãåí|Wageningen|Wageningen|Âàãåíèíãåí|Âàãåíèíãåí|Wageningen|Wageningen|Ñóðèíàì|Ñóðèíàì|5.833|5.833|-56.650|-56.650
AGJ|AGJ|Àãóíè|Àãóíè|Aguni|Aguni|Àãóíè|Àãóíè|Aguni|Aguni|ßïîíèÿ|ßïîíèÿ|26.592499|26.592499|127.240833|127.240833
